date,location,gndr,age,employ,student,efl,income,kindphone,agephone,chngphone,provider,attitudepro,frequse,whotext,games,music,socialmed,famuse,phonehelp,buysmt,nobuynw,personalinfo,shop,bank,govform,QU,,
7/30/14,Flatbush Ave,1,3,0,2,1,1,1,2,1,8,1,0,1,1,1,1,1,1,1,1,1,0,1,0,,,
7/31/14,Park Slope (Sunset park market),1,3,3,2,0,1,1,2,1,5,1,1,1,1,1,1,1,1,1,2,0,0,0,0,,,
8/2/14,SoBro (personal party),1,2,1,2,0,1,1,1,0,5,0,0,1,0,0,0,1,4,0,2,1,0,1,1,,,
8/6/14,Welfare center,1,2,0,2,0,1,1,1,,2,1,1,1,1,0,0,1,,0,0,0,0,0,1,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,2,2,0,1,0,1,1,4,1,2,1,1,1,1,1,0,1,0,0,0,1,0,,,
7/25/14,Central Park,1,0,1,2,1,1,1,0,0,6,1,0,1,0,0,0,1,1,0,4,1,0,1,1,,,
7/22/14,SoBro (Simpson/196),1,1,0,2,0,1,1,0,0,5,1,0,1,1,0,0,1,3,0,0,1,1,1,1,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,2,2,0,1,0,0,1,4,2,1,1,1,1,1,1,3,1,0,0,1,0,0,,,
8/6/14,Welfare center,,1,0,1,0,1,0,,0,4,2,1,1,1,1,0,1,1,0,0,1,0,1,1,,,
41857,Bronx Zoo,0,2,0,2,0,2,0,6,1,4,1,2,1,1,1,1,1,4,0,0,1,1,1,1,,,
8/2/14,Bedford Ave,0,3,0,2,1,2,1,5,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),0,3,1,2,0,2,1,5,1,1,0,0,1,1,0,1,1,1,1,3,0,0,1,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),0,3,2,2,0,2,1,4,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,,
8/8/14,Marine Park (King’s Plaza),0,2,1,2,0,2,1,3,1,0,1,1,1,0,0,0,1,3,0,0,0,0,1,0,,,
7/31/14,Park Slope (Sunset park market),0,3,3,2,1,2,1,3,1,0,0,1,1,1,0,1,1,3,1,0,0,0,0,0,,,
8/2/14,Bedford Ave,0,3,0,2,0,2,1,2,1,0,1,0,1,1,0,0,1,1,1,3,1,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),0,3,1,2,0,2,1,2,1,8,0,0,1,1,1,0,1,0,1,0,0,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),0,3,1,2,1,2,1,2,1,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,,,
8/8/14,Marine Park (King’s Plaza),0,3,1,2,1,2,1,2,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,,,
8/8/14,Marine Park (King’s Plaza),0,3,1,2,0,2,1,1,1,1,0,0,1,1,0,1,1,1,1,2,0,0,0,0,,,
8/6/14,Welfare center,0,2,0,2,0,2,0,0,0,4,2,1,1,1,1,0,1,,0,3,1,0,1,1,,,
7/25/14,Central Park,0,3,1,2,0,2,0,0,0,4,2,1,1,1,1,1,1,,0,3,1,1,1,1,,,
